refdate,demo_age,demo_gender,demo_marital_status,demo_schooling,demo_residence_time,demo_residence_kind,job_formal,job_retired,job_employment_time,job_kind,job_employment_experience,income_social_benefits,income_salary,debt_profile,debt_prev_history,debt_bureau_score,target
2015-08-25,17,-1,1,4,12,1,0,0,19,2,1.0,0,1034.5,-1,0,,0
2015-08-12,25,1,1,4,60,1,1,0,0,2,0.0,0,1344.85,0,0,0.8218,0
2015-08-08,40,1,1,3,98,1,1,0,0,4,0.0,0,2275.9,2,0,0.9558,1
2015-08-14,29,0,1,5,108,1,0,0,30,2,1.0,0,1344.85,5,0,0.9304,0
2015-08-28,19,-1,1,4,120,1,0,0,0,4,0.0,0,1008.6375,-1,0,,0
2015-08-20,49,0,2,5,240,1,0,0,282,4,1.0,1,2586.25,2,0,0.9404,0
2015-08-07,68,0,4,1,300,1,1,0,0,1,0.0,0,7241.5,3,0,0.9547,1
2015-08-09,42,-1,2,2,180,1,0,0,0,1,0.0,1,982.775,5,0,0.9074,0
2015-08-27,50,0,2,4,36,1,0,0,0,4,0.0,0,1551.75,2,0,0.7637,1
2015-08-16,19,1,1,3,144,2,0,0,14,4,1.0,0,827.6,5,0,0.7787,1
2015-08-31,37,1,1,4,180,1,1,0,106,2,1.0,0,1510.37,2,0,0.8559,0
2015-08-16,61,1,6,3,144,1,0,0,151,2,1.0,0,1551.75,2,0,0.9096,0
2015-08-20,39,0,2,4,456,1,0,0,14,2,1.0,0,1241.4,3,1,0.8982,0
2015-08-03,24,1,1,0,30,1,1,0,0,4,0.0,0,1241.4,5,0,0.8658,0
2015-08-29,27,0,1,4,48,1,0,0,0,4,0.0,0,1551.75,5,0,0.8627,0
2015-08-29,28,1,1,2,168,1,1,0,42,4,1.0,0,1551.75,4,0,0.8824,0
2015-08-31,24,1,1,4,66,2,1,0,18,2,1.0,0,1034.5,3,0,0.8367,0
2015-08-11,24,1,1,4,24,1,1,0,49,4,1.0,0,1241.4,0,0,0.9168,0
2015-08-18,30,1,1,4,120,1,0,0,86,2,1.0,0,3103.5,4,0,0.9589,0
2015-08-18,30,0,1,1,113,1,1,0,4,8,1.0,0,1551.75,5,0,0.88,0
2015-08-10,20,0,1,4,132,1,0,0,27,4,1.0,0,1241.4,5,0,0.7594,0
2015-08-10,56,0,6,4,241,1,1,0,19,4,1.0,0,1241.4,0,0,0.8801,0
2015-08-21,28,0,2,4,122,1,0,0,0,4,0.0,0,3103.5,0,0,0.8963,0
2015-08-14,23,1,1,4,12,2,1,0,0,2,0.0,0,1122.4325,5,0,0.8941,0
2015-08-22,56,0,2,3,361,1,0,0,0,4,0.0,0,1034.5,2,0,0.9129,0
2015-08-08,31,0,1,1,36,1,0,0,72,2,1.0,0,1551.75,5,1,0.8337,1
2015-08-29,35,0,1,4,60,1,1,0,39,2,1.0,0,3103.5,3,0,0.8195,0
2015-08-12,49,0,2,3,303,1,0,0,0,4,0.0,0,3103.5,4,0,0.4896,1
2015-08-09,40,0,1,4,73,1,0,0,0,4,0.0,1,1862.1,4,0,0.8517,1
2015-08-22,39,1,2,2,108,1,1,0,14,4,1.0,0,2069.0,0,0,0.8487,1
2015-08-09,60,1,1,2,81,1,1,0,0,4,0.0,0,3620.75,2,0,0.8681,1
2015-08-11,25,0,1,4,276,1,1,0,5,2,1.0,0,3620.75,4,1,0.9108,0
2015-08-08,51,0,5,4,241,1,0,0,0,4,0.0,0,1862.1,4,0,0.9403,0
2015-08-12,53,0,2,4,360,1,0,0,75,2,1.0,0,1655.2,0,1,0.8028,0
2015-08-13,37,0,1,5,48,2,0,0,0,4,0.0,0,1551.75,3,0,0.8332,1
